"intpathway","wikipathways","LCS","Gene Agreement","GenePair Agreement"
"fatty_acid_oxidation","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","9","0.000","0.000"
"fatty_acid_oxidation","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","11","0.219","0.040"
"fatty_acid_oxidation","sc_asparagine_biosynthesis_wp67_71349","7","0.022","0.000"
"fatty_acid_oxidation","sc_phenylalanine_biosynthesis_wp194_69817","7","0.022","0.000"
"fatty_acid_oxidation","sc_tryptophan_biosynthesis_wp165_71899","7","0.032","0.001"
"fatty_acid_oxidation","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","10","0.022","0.000"
"fatty_acid_oxidation","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","11","0.011","0.000"
"fatty_acid_oxidation","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","10","0.063","0.003"
"fatty_acid_oxidation","sc_pathways_of_chorismate_wp213_71175","9","0.188","0.028"
"fatty_acid_oxidation","sc_tca_cycle_wp490_78394","4","0.166","0.022"
"fatty_acid_oxidation","sc_glucose_repression_wp2836_78395","6","0.109","0.008"
"fatty_acid_oxidation","sc_nucleotide_metabolism_wp321_71895","7","0.048","0.001"
"fatty_acid_oxidation","sc_arginine_degradation_wp54_70247","10","0.022","0.000"
"fatty_acid_oxidation","sc_isoleucine_and_valine_biosynthesis_wp359_69861","9","0.099","0.007"
"fatty_acid_oxidation","sc_fatty_acid_oxidation_wp91_71343","20","0.000","0.002"
"fatty_acid_oxidation","sc_p-cymene_degradation_wp181_69808","9","0.032","0.001"
"fatty_acid_oxidation","sc_tyrosine_biosynthesis_wp538_69941","7","0.022","0.000"
"fatty_acid_oxidation","sc_lipases_biosynthesis_wp71_70049","7","0.016","0.000"
"fatty_acid_oxidation","sc_glutamate_degradation_viii_wp99_70055","10","0.027","0.000"
"fatty_acid_oxidation","sc_threonine_biosynthesis_wp331_70271","7","0.027","0.000"
"fatty_acid_oxidation","sc_fatty_acid_elongation,_saturated_wp380_69867","17","0.032","0.001"
"fatty_acid_oxidation","sc_de_novo_nad_biosynthesis_wp541_69942","8","0.048","0.001"
"fatty_acid_oxidation","sc_protein_modifications_wp346_69859","10","0.063","0.003"
"fatty_acid_oxidation","sc_polyamine_biosynthesis_wp290_69849","7","0.022","0.000"
"fatty_acid_oxidation","sc_arginine_biosynthesis_wp275_69844","7","0.043","0.001"
"fatty_acid_oxidation","sc_valine_biosynthesis_wp2_78390","7","0.027","0.000"
"fatty_acid_oxidation","sc_sucrose_biosynthesis_wp14_69669","6","0.005","0.000"
"fatty_acid_oxidation","sc_serine-isocitrate_lyase_pathway_wp390_69869","7","0.089","0.006"
"fatty_acid_oxidation","sc_glutathione_biosynthesis_wp196_76277","7","0.011","0.000"
"fatty_acid_oxidation","sc_glycogen_catabolism_wp478_70263","6","0.022","0.000"
"fatty_acid_oxidation","sc_glutamate_degradation_vii_wp559_70041","10","0.048","0.001"
"fatty_acid_oxidation","sc_galactose_metabolism_wp549_69945","6","0.032","0.001"
"fatty_acid_oxidation","sc_aerobic_glycerol_catabolism_wp224_71353","8","0.089","0.006"
"fatty_acid_oxidation","sc_deoxyribose_phosphate_metabolism_wp228_69829","8","0.022","0.000"
"fatty_acid_oxidation","sc_gluconeogenesis_wp156_69762","5","0.037","0.001"
"fatty_acid_oxidation","sc_nad_biosynthesis_wp84_71345","7","0.016","0.000"
"fatty_acid_oxidation","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","10","0.043","0.001"
"fatty_acid_oxidation","sc_cell_cycle_and_cell_division_wp414_78393","9","0.494","0.259"
"fatty_acid_oxidation","sc_udp-glucose_conversion_wp109_69750","7","0.027","0.000"
"fatty_acid_oxidation","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","9","0.058","0.002"
"fatty_acid_oxidation","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","10","0.099","0.007"
"fatty_acid_oxidation","sc_trehalose_degradation,_low_osmolarity_wp70_70048","9","0.027","0.000"
"fatty_acid_oxidation","sc_leucine_biosynthesis_wp180_69807","7","0.032","0.001"
"fatty_acid_oxidation","sc_toluene_degradation_wp60_78389","9","0.032","0.001"
"fatty_acid_oxidation","sc_triglyceride_biosynthesis_wp266_69843","9","0.022","0.000"
"fatty_acid_oxidation","sc_glycolysis_wp253_69832","4","0.094","0.006"
"fatty_acid_oxidation","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","12","0.022","0.000"
"fatty_acid_oxidation","sc_proteasome_degradation_wp158_77442","9","0.184","0.027"
"fatty_acid_oxidation","sc_tryptophan_degradation_wp301_67723","10","0.063","0.003"
"fatty_acid_oxidation","sc_glucose-1-phosphate_metabolism_wp260_69835","6","0.022","0.000"
"fatty_acid_oxidation","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","12","0.063","0.003"
"fatty_acid_oxidation","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","10","0.109","0.008"
"fatty_acid_oxidation","sc_glutamate_biosynthesis_wp77_71350","7","0.037","0.001"
"fatty_acid_oxidation","sc_lactose_degradation_wp546_69943","10","0.037","0.001"
"fatty_acid_oxidation","sc_isoleucine_biosynthesis_wp250_69831","7","0.037","0.001"
"fatty_acid_oxidation","sc_glycolysis_and_gluconeogenesis_wp515_78397","8","0.202","0.033"
"fatty_acid_oxidation","sc_asparagine_degradation_wp432_71892","10","0.037","0.001"
"fatty_acid_oxidation","sc_tca_cycle_-_detailed_wp296_76239","7","0.113","0.009"
"fatty_acid_oxidation","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","9","0.022","0.000"
"fatty_acid_oxidation","sc_phenylalanine_degradation_wp573_74213","10","0.058","0.002"
"fatty_acid_oxidation","sc_purine_fermentation_wp463_73550","8","0.032","0.001"
"fatty_acid_oxidation","sc_serine_and_glycine_biosynthesis_wp218_69824","8","0.032","0.001"
"fatty_acid_oxidation","sc_histidine_biosynthesis_wp514_71894","7","0.053","0.002"
"fatty_acid_oxidation","sc_serine_biosynthesis_wp459_69877","6","0.022","0.000"
"fatty_acid_oxidation","sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","11","0.053","0.002"
"fatty_acid_oxidation","sc_ubiquinone_biosynthesis_wp308_69850","6","0.053","0.002"
"fatty_acid_oxidation","sc_translation_factors_wp32_71347","7","0.179","0.026"
"fatty_acid_oxidation","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","10","0.032","0.001"
"fatty_acid_oxidation","sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","12","0.037","0.001"
"fatty_acid_oxidation","sc_phospholipid_biosynthesis_wp9_69581","8","0.048","0.001"
"fatty_acid_oxidation","sc_sphingolipid_metabolism_wp370_76472","7","0.104","0.008"
"fatty_acid_oxidation","sc_xylulose-monophosphate_cycle_wp361_69862","5","0.027","0.000"
"fatty_acid_oxidation","sc_principle_pathways_of_carbon_metabolism_wp112_78138","8","0.366","0.128"
"fatty_acid_oxidation","sc_glutamate_degradation_iii_wp503_69932","10","0.027","0.000"
"fatty_acid_oxidation","sc_chorismate_biosynthesis_wp479_73732","9","0.043","0.001"
"fatty_acid_oxidation","sc_glutamate_degradation_i_wp556_69958","10","0.016","0.000"
"fatty_acid_oxidation","sc_leucine_degradation_wp354_70265","10","0.022","0.000"
"fatty_acid_oxidation","sc_dna_replication_wp13_78398","9","0.341","0.102"
"fatty_acid_oxidation","sc_genes_of_meiotic_recombination_wp377_69605","11","0.099","0.007"
"fatty_acid_oxidation","sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","9","0.032","0.000"
"fatty_acid_oxidation","sc_nad_salvage_pathway_wp171_73683","6","0.032","0.001"
"fatty_acid_oxidation","sc_aspartate_biosynthesis_wp1518_76276","8","0.022","0.000"
"fatty_acid_oxidation","sc_glycine_degradation_wp345_71005","10","0.048","0.001"
"fatty_acid_oxidation","sc_pyruvate_dehydrogenase_pathway_wp214_69823","7","0.022","0.000"
"fatty_acid_oxidation","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","11","0.016","0.000"
"fatty_acid_oxidation","sc_cholesterol_biosynthesis_wp132_77403","7","0.074","0.004"
"fatty_acid_oxidation","sc_lysine_biosynthesis_wp533_69940","6","0.043","0.001"
"fatty_acid_oxidation","sc_glycine_biosynthesis_wp261_77412","7","0.022","0.000"
"fatty_acid_oxidation","sc_octane_oxidation_wp552_69954","12","0.000","0.000"
"fatty_acid_oxidation","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","10","0.032","0.001"
"fatty_acid_oxidation","sc_folic_acid_biosynthesis_wp555_69957","10","0.079","0.004"
"fatty_acid_oxidation","sc_sulfur_amino_acid_biosynthesis_wp7_70252","11","0.074","0.004"
"fatty_acid_oxidation","sc_isoleucine_degradation_wp178_69780","10","0.037","0.001"
"fatty_acid_oxidation","sc_tryptophan_degradation_via_kynurenine_wp452_70274","10","0.032","0.001"
"fatty_acid_oxidation","sc_m-cresol_degradation_wp172_69778","9","0.032","0.001"
"fatty_acid_oxidation","sc_cytoplasmic_ribosomal_proteins_wp210_70142","9","0.451","0.209"
"fatty_acid_oxidation","sc_mapk_signaling_pathway_wp510_78392","7","0.278","0.068"
"fatty_acid_oxidation","sc_mitochondrial_trna_synthetases_wp62_76238","7","0.074","0.004"
"fatty_acid_oxidation","sc_starch_and_cellulose_biosynthesis_wp257_69834","9","0.027","0.000"
"fatty_acid_oxidation","sc_homocysteine_and_cysteine_interconversion_wp128_69755","11","0.022","0.000"
"glycine_biosynthesis_from_threonine","sc_cytoplasmic_trna_synthetases_wp219_76236","14","0.010","0.000"
"glycine_biosynthesis_from_threonine","sc_trehalose_biosynthesis_wp239_70272","17","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","18","0.009","0.000"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_elongation,_unsaturated_wp16_71346","13","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_upiquinone_q_prenylation_wp287_69848","13","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_anaerobic_respiration_wp575_73676","12","0.001","0.000"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","20","0.006","0.000"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","20","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_allantoin_degradation_wp328_71348","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_sulfur_degradation_wp440_69875","9","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","18","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_pentose_phosphate_pathway_wp369_69863","11","0.007","0.000"
"glycine_biosynthesis_from_threonine","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","16","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_eukaryotic_transcription_initiation_wp425_77440","12","0.017","0.000"
"glycine_biosynthesis_from_threonine","sc_sulfate_assimilation_pathway_ii_wp579_70251","12","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","21","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_methionine_degradation_wp46_69881","11","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_threonine_and_methionine_biosynthesis_wp423_69874","19","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","23","0.014","0.000"
"glycine_biosynthesis_from_threonine","sc_pentose_phosphate_pathway_2_wp670_73392","11","0.008","0.000"
"glycine_biosynthesis_from_threonine","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","18","0.000","0.000"
"glycine_biosynthesis_from_threonine","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","15","0.024","0.000"
"glycine_biosynthesis_from_threonine","sc_asparagine_biosynthesis_wp67_71349","19","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_biosynthesis_wp194_69817","19","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_tryptophan_biosynthesis_wp165_71899","17","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_glycerol_teichoic_acid_biosynthesis_wp563_70042","20","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_core_lipid-linked_oligosaccharide_biosynthesis_wp114_69752","19","0.001","0.000"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosyn._of_pyrimidine_deoxyribonucleotides_wp36_72053","19","0.007","0.000"
"glycine_biosynthesis_from_threonine","sc_pathways_of_chorismate_wp213_71175","12","0.021","0.000"
"glycine_biosynthesis_from_threonine","sc_tca_cycle_wp490_78394","6","0.018","0.000"
"glycine_biosynthesis_from_threonine","sc_glucose_repression_wp2836_78395","12","0.011","0.000"
"glycine_biosynthesis_from_threonine","sc_nucleotide_metabolism_wp321_71895","11","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_arginine_degradation_wp54_70247","11","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_isoleucine_and_valine_biosynthesis_wp359_69861","20","0.010","0.000"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_oxidation_wp91_71343","9","0.006","0.000"
"glycine_biosynthesis_from_threonine","sc_p-cymene_degradation_wp181_69808","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_tyrosine_biosynthesis_wp538_69941","19","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_lipases_biosynthesis_wp71_70049","18","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_viii_wp99_70055","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_threonine_biosynthesis_wp331_70271","19","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_fatty_acid_elongation,_saturated_wp380_69867","13","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_de_novo_nad_biosynthesis_wp541_69942","17","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_protein_modifications_wp346_69859","11","0.007","0.000"
"glycine_biosynthesis_from_threonine","sc_polyamine_biosynthesis_wp290_69849","20","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_arginine_biosynthesis_wp275_69844","19","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_valine_biosynthesis_wp2_78390","19","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_sucrose_biosynthesis_wp14_69669","17","0.001","0.000"
"glycine_biosynthesis_from_threonine","sc_serine-isocitrate_lyase_pathway_wp390_69869","12","0.009","0.000"
"glycine_biosynthesis_from_threonine","sc_glutathione_biosynthesis_wp196_76277","20","0.001","0.000"
"glycine_biosynthesis_from_threonine","sc_glycogen_catabolism_wp478_70263","12","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_vii_wp559_70041","10","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_galactose_metabolism_wp549_69945","11","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_aerobic_glycerol_catabolism_wp224_71353","12","0.009","0.000"
"glycine_biosynthesis_from_threonine","sc_deoxyribose_phosphate_metabolism_wp228_69829","13","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_gluconeogenesis_wp156_69762","13","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_nad_biosynthesis_wp84_71345","17","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_riboflavin,_fmn,_and_fad_biosynthesis_wp381_71896","18","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_cell_cycle_and_cell_division_wp414_78393","11","0.066","0.000"
"glycine_biosynthesis_from_threonine","sc_udp-glucose_conversion_wp109_69750","12","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_de_novo_biosynthesis_of_pyrimidine_ribonucleotides_wp92_71184","25","0.006","0.000"
"glycine_biosynthesis_from_threonine","sc_isoleucine,_leucine,_and_valine_biosynthesis_wp198_69820","20","0.010","0.000"
"glycine_biosynthesis_from_threonine","sc_trehalose_degradation,_low_osmolarity_wp70_70048","11","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_leucine_biosynthesis_wp180_69807","20","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_toluene_degradation_wp60_78389","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_triglyceride_biosynthesis_wp266_69843","21","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_glycolysis_wp253_69832","11","0.010","0.000"
"glycine_biosynthesis_from_threonine","sc_rump_cycle_and_formaldehyde_assimilation_wp332_71344","13","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_proteasome_degradation_wp158_77442","12","0.020","0.000"
"glycine_biosynthesis_from_threonine","sc_tryptophan_degradation_wp301_67723","10","0.007","0.000"
"glycine_biosynthesis_from_threonine","sc_glucose-1-phosphate_metabolism_wp260_69835","13","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_panothenate_and_coenzyme_a_biosynthesis_wp462_70472","18","0.007","0.000"
"glycine_biosynthesis_from_threonine","sc_phenylalanine,_tyrosine,_tryptophan_biosynthesis_wp27_70250","20","0.011","0.000"
"glycine_biosynthesis_from_threonine","sc_glutamate_biosynthesis_wp77_71350","18","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_lactose_degradation_wp546_69943","10","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_isoleucine_biosynthesis_wp250_69831","20","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_glycolysis_and_gluconeogenesis_wp515_78397","15","0.022","0.000"
"glycine_biosynthesis_from_threonine","sc_asparagine_degradation_wp432_71892","10","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_tca_cycle_-_detailed_wp296_76239","9","0.012","0.000"
"glycine_biosynthesis_from_threonine","sc_cysteine_biosynthesis_from_homoserine_wp256_77328","28","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_phenylalanine_degradation_wp573_74213","10","0.006","0.000"
"glycine_biosynthesis_from_threonine","sc_purine_fermentation_wp463_73550","13","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_serine_and_glycine_biosynthesis_wp218_69824","22","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_histidine_biosynthesis_wp514_71894","19","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_serine_biosynthesis_wp459_69877","19","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_non-oxidative_branch_of_the_pentose_pathway_wp379_69866","15","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_ubiquinone_biosynthesis_wp308_69850","19","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_translation_factors_wp32_71347","9","0.020","0.000"
"glycine_biosynthesis_from_threonine","sc_salvage_pathways_of_pyrimidine_ribonucleotides_wp95_70054","16","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_colanic_acid_building_blocks_biosynthesis_wp121_72199","19","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_phospholipid_biosynthesis_wp9_69581","17","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_sphingolipid_metabolism_wp370_76472","10","0.011","0.000"
"glycine_biosynthesis_from_threonine","sc_xylulose-monophosphate_cycle_wp361_69862","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_principle_pathways_of_carbon_metabolism_wp112_78138","16","0.044","0.000"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_iii_wp503_69932","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_chorismate_biosynthesis_wp479_73732","18","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_glutamate_degradation_i_wp556_69958","10","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_leucine_degradation_wp354_70265","11","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_dna_replication_wp13_78398","8","0.041","0.000"
"glycine_biosynthesis_from_threonine","sc_genes_of_meiotic_recombination_wp377_69605","15","0.010","0.000"
"glycine_biosynthesis_from_threonine","sc_carbon_monoxide_dehydrogenase_pathway_wp280_71352","13","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_nad_salvage_pathway_wp171_73683","8","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_aspartate_biosynthesis_wp1518_76276","17","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_glycine_degradation_wp345_71005","13","0.005","0.000"
"glycine_biosynthesis_from_threonine","sc_pyruvate_dehydrogenase_pathway_wp214_69823","11","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_oxidative_branch_of_the_pentose_phosphate_pathway_wp417_69873","15","0.002","0.000"
"glycine_biosynthesis_from_threonine","sc_cholesterol_biosynthesis_wp132_77403","17","0.008","0.000"
"glycine_biosynthesis_from_threonine","sc_lysine_biosynthesis_wp533_69940","20","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_glycine_biosynthesis_wp261_77412","22","0.000","0.000"
"glycine_biosynthesis_from_threonine","sc_octane_oxidation_wp552_69954","10","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_ribose_and_deoxyribose_phosphate_metabolism_wp220_69826","15","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_folic_acid_biosynthesis_wp555_69957","18","0.008","0.000"
"glycine_biosynthesis_from_threonine","sc_sulfur_amino_acid_biosynthesis_wp7_70252","18","0.008","0.000"
"glycine_biosynthesis_from_threonine","sc_isoleucine_degradation_wp178_69780","11","0.004","0.000"
"glycine_biosynthesis_from_threonine","sc_tryptophan_degradation_via_kynurenine_wp452_70274","15","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_m-cresol_degradation_wp172_69778","9","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_cytoplasmic_ribosomal_proteins_wp210_70142","15","0.058","0.000"
"glycine_biosynthesis_from_threonine","sc_mapk_signaling_pathway_wp510_78392","9","0.032","0.000"
"glycine_biosynthesis_from_threonine","sc_mitochondrial_trna_synthetases_wp62_76238","14","0.008","0.000"
"glycine_biosynthesis_from_threonine","sc_starch_and_cellulose_biosynthesis_wp257_69834","18","0.003","0.000"
"glycine_biosynthesis_from_threonine","sc_homocysteine_and_cysteine_interconversion_wp128_69755","16","0.002","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_cytoplasmic_trna_synthetases_wp219_76236","17","0.031","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_trehalose_biosynthesis_wp239_70272","16","0.007","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_phosphatidic_acid_and_phospholipid_biosynthesis_wp472_71340","23","0.026","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_fatty_acid_elongation,_unsaturated_wp16_71346","19","0.010","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_upiquinone_q_prenylation_wp287_69848","14","0.010","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_anaerobic_respiration_wp575_73676","13","0.003","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_fatty_acid_biosynthesis,_initial_steps_wp137_69759","21","0.018","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_phenylalanine_and_tyrosine_biosynthesis_wp120_77891","25","0.011","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_allantoin_degradation_wp328_71348","15","0.008","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_sulfur_degradation_wp440_69875","13","0.007","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_superpathway_of_glutamate_biosynthesis_wp191_69812","27","0.011","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_pentose_phosphate_pathway_wp369_69863","16","0.019","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_glutathione-glutaredoxin_redox_reaction_wp392_69870","19","0.010","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_eukaryotic_transcription_initiation_wp425_77440","18","0.050","0.001"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_sulfate_assimilation_pathway_ii_wp579_70251","18","0.010","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_udp-n-acetylgalactosamine_biosynthesis_wp159_69764","21","0.007","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_methionine_degradation_wp46_69881","16","0.007","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_threonine_and_methionine_biosynthesis_wp423_69874","25","0.013","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_de_novo_biosynthesis_of_purine_nucleotides_wp203_71893","25","0.042","0.001"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_pentose_phosphate_pathway_2_wp670_73392","16","0.023","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_p-hydroxybenzoate_biosynthesis_wp315_69851","18","0.000","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_superpathway_of_histidine,_purine,_and_pyrimidine_wp416_71897","30","0.072","0.002"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_asparagine_biosynthesis_wp67_71349","18","0.007","0.000"
"salvage_pathways_of_guanine,_xanthine_and_their_nucleosides","sc_phenylalanine_biosynthesis_wp194_69817","19","0.007","0.000"
